,c_measure,mds_score,minimal_wiring,minimal_path_length,demartines_herault,sammon_mapping
LG_Mean,4296.726150670001,-282349.38464271324,1.6726529423737893,0.0008284938770357278,-597.5754016452108,
LG_Sum,3567.3338653238156,-102532.56537907566,1.1970700137947021,0.0009389597273071581,-344.6300161837907,
Fct_Mean,1794.3720220715525,-10242.160191582278,0.6672737512820875,0.0010178639060724657,-5.713446938053622,
Fct_Sum,2512.98457149789,-16000.552106862337,0.8637017046216484,0.0010020830703194041,-7.59670591776123,
Fct_Max_Sum,3634.682401899461,-112272.62259925772,1.197554412805683,0.026172516096452467,-186.52068004123393,
Fct_Max_Mean,1239.2028799065858,-5042.901095719925,0.43479483798992297,0.08775722762277491,-0.5731903763872895,
Fct_BPE_Sum,4820000.0,-330390360707.375,1671.5061229642722,0.17860749905314985,,
Fct_BPE_Mean,2801.3788099199096,-10822.485646114117,0.9819401923718547,0.16145373058957202,-0.6991192907965558,
Fct_Markov_BPE,2802.352989765887,-10812.348013294742,0.9822160751122855,0.16415225350334553,-0.6960842250635348,
Fct_Markov_Base,3765.5970237617303,-100170.49045427822,1.2538775504033075,0.016633000883726802,-163.4175805345338,
Reg_Discret_Sum,3379.1589893375763,-69731.61240040595,1.1213697879616982,0.014715629339729832,-93.11640940248627,
Reg_Discret_Mean,1922.7411135707378,-11853.372380144285,0.6888902131005513,0.01096768084837773,-1.8245683734646774,
Reg_Euclidean_Sum,113169.96806020354,-1052573427.3626945,47.636234086856454,0.001246686024491857,,
Reg_Euclidean_Mean,131305.86053592392,-1558054943.1705086,55.355153938051664,0.0010652064133316501,,
Reg_Cosine_Sum,3703.4481366257555,-117854.11596618974,1.2179603420504823,0.00149128897866431,-198.84494003390714,
Reg_Cosine_Mean,2444.0659709662673,-8227.222054881157,0.8457667127688879,0.000978411816689812,-0.6330425990911199,
Reg_BPE_Sum,3275.8002953335435,-59666.99321924625,1.0868355075436693,0.012001325590203258,-68.17733131160253,
Reg_BPE_Mean,1979.3133690511684,-9986.497230173876,0.7009536579840246,0.005255018305769473,-1.8594572221969896,
Reg_Markov_BPE,3348.4621528926477,-54583.92516889293,1.1160937442300718,0.03698238858729958,-70.33507015349367,
Reg_Markov_Base,3162.998423652458,-74554.17120890372,1.0692876428156173,0.07911722004797374,-165.1078905384996,
